2025-08-18 15:11:13,649 | DEBUG | app.main | Checking 2 jobs at 2025-08-18 12:11:13.649571+00:00
2025-08-18 15:11:13,649 | DEBUG | app.main | Job 1 status=queued paused=False stopped=True next_run_at=2025-08-15 14:19:39.741154+00:00
2025-08-18 15:11:13,650 | DEBUG | app.main | Job 2 status=scheduled paused=True stopped=True next_run_at=2025-08-18 11:41:57.707414+00:00
2025-08-18 15:11:13,792 | DEBUG | aiosqlite | executing <function connect.<locals>.connector at 0x000001ACE12AFE20>
2025-08-18 15:11:13,793 | DEBUG | aiosqlite | operation <function connect.<locals>.connector at 0x000001ACE12AFE20> completed
2025-08-18 15:11:13,794 | DEBUG | aiosqlite | executing functools.partial(<built-in method create_function of sqlite3.Connection object at 0x000001ACE1296980>, 'regexp', 2, <function SQLiteDialect_pysqlite.on_connect.<locals>.regexp at 0x000001ACE0029B20>, deterministic=True)
2025-08-18 15:11:13,794 | DEBUG | aiosqlite | operation functools.partial(<built-in method create_function of sqlite3.Connection object at 0x000001ACE1296980>, 'regexp', 2, <function SQLiteDialect_pysqlite.on_connect.<locals>.regexp at 0x000001ACE0029B20>, deterministic=True) completed
2025-08-18 15:11:13,794 | DEBUG | aiosqlite | executing functools.partial(<built-in method create_function of sqlite3.Connection object at 0x000001ACE1296980>, 'floor', 1, <built-in function floor>, deterministic=True)
2025-08-18 15:11:13,795 | DEBUG | aiosqlite | operation functools.partial(<built-in method create_function of sqlite3.Connection object at 0x000001ACE1296980>, 'floor', 1, <built-in function floor>, deterministic=True) completed
2025-08-18 15:11:13,797 | DEBUG | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001ACE1296980>)
2025-08-18 15:11:13,797 | DEBUG | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001ACE1296980>) completed
2025-08-18 15:11:13,798 | DEBUG | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001ACE12751C0>, 'SELECT accounts.id, accounts.phone, accounts.name, accounts.session_path, accounts.is_authorized, accounts.created_at, accounts.api_id, accounts.api_hash, accounts.phone_code_hash \nFROM accounts', ())
2025-08-18 15:11:13,798 | DEBUG | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001ACE12751C0>, 'SELECT accounts.id, accounts.phone, accounts.name, accounts.session_path, accounts.is_authorized, accounts.created_at, accounts.api_id, accounts.api_hash, accounts.phone_code_hash \nFROM accounts', ()) completed
2025-08-18 15:11:13,798 | DEBUG | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001ACE12751C0>)
2025-08-18 15:11:13,799 | DEBUG | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001ACE12751C0>) completed
2025-08-18 15:11:13,799 | DEBUG | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001ACE12751C0>)
2025-08-18 15:11:13,800 | DEBUG | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001ACE12751C0>) completed
2025-08-18 15:11:13,802 | DEBUG | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001ACE1296980>)
2025-08-18 15:11:13,802 | DEBUG | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001ACE1296980>) completed
2025-08-18 15:11:13,802 | DEBUG | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001ACE12751C0>, 'SELECT templates.id, templates.title, templates.body, templates.created_at \nFROM templates', ())
2025-08-18 15:11:13,803 | DEBUG | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001ACE12751C0>, 'SELECT templates.id, templates.title, templates.body, templates.created_at \nFROM templates', ()) completed
2025-08-18 15:11:13,803 | DEBUG | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001ACE12751C0>)
2025-08-18 15:11:13,804 | DEBUG | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001ACE12751C0>) completed
2025-08-18 15:11:13,804 | DEBUG | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001ACE12751C0>)
2025-08-18 15:11:13,805 | DEBUG | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001ACE12751C0>) completed
2025-08-18 15:11:13,807 | DEBUG | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001ACE1296980>)
2025-08-18 15:11:13,808 | DEBUG | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001ACE1296980>) completed
2025-08-18 15:11:13,809 | DEBUG | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001ACE12751C0>, 'SELECT jobs.id, jobs.status, jobs.account_id, jobs.targets_blob, jobs.template_ids_blob, jobs.randomize, jobs.schedule_at, jobs.context_json, jobs.created_at, jobs.error, jobs.attempts, jobs.account_ids_blob, jobs.is_cyclic, jobs.cycle_minutes, jobs.paused, jobs.stopped, jobs.next_run_at \nFROM jobs ORDER BY jobs.id DESC\n LIMIT ? OFFSET ?', (20, 0))
2025-08-18 15:11:13,809 | DEBUG | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001ACE12751C0>, 'SELECT jobs.id, jobs.status, jobs.account_id, jobs.targets_blob, jobs.template_ids_blob, jobs.randomize, jobs.schedule_at, jobs.context_json, jobs.created_at, jobs.error, jobs.attempts, jobs.account_ids_blob, jobs.is_cyclic, jobs.cycle_minutes, jobs.paused, jobs.stopped, jobs.next_run_at \nFROM jobs ORDER BY jobs.id DESC\n LIMIT ? OFFSET ?', (20, 0)) completed
2025-08-18 15:11:13,810 | DEBUG | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001ACE12751C0>)
2025-08-18 15:11:13,810 | DEBUG | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001ACE12751C0>) completed
2025-08-18 15:11:13,811 | DEBUG | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001ACE12751C0>)
2025-08-18 15:11:13,811 | DEBUG | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001ACE12751C0>) completed
2025-08-18 15:11:13,830 | DEBUG | aiosqlite | executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x000001ACE1296980>)
2025-08-18 15:11:13,830 | DEBUG | aiosqlite | operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x000001ACE1296980>) completed
2025-08-18 15:11:13,831 | DEBUG | aiosqlite | executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x000001ACE1296980>)
2025-08-18 15:11:13,832 | DEBUG | aiosqlite | operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x000001ACE1296980>) completed
2025-08-18 15:11:16,209 | DEBUG | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001ACE1296980>)
2025-08-18 15:11:16,210 | DEBUG | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001ACE1296980>) completed
2025-08-18 15:11:16,211 | DEBUG | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001ACE12769C0>, 'SELECT message_logs.id, message_logs.account_id, message_logs.target, message_logs.template_id, message_logs.status, message_logs.error, message_logs.created_at \nFROM message_logs ORDER BY message_logs.id DESC\n LIMIT ? OFFSET ?', (500, 0))
2025-08-18 15:11:16,213 | DEBUG | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001ACE12769C0>, 'SELECT message_logs.id, message_logs.account_id, message_logs.target, message_logs.template_id, message_logs.status, message_logs.error, message_logs.created_at \nFROM message_logs ORDER BY message_logs.id DESC\n LIMIT ? OFFSET ?', (500, 0)) completed
2025-08-18 15:11:16,213 | DEBUG | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001ACE12769C0>)
2025-08-18 15:11:16,213 | DEBUG | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001ACE12769C0>) completed
2025-08-18 15:11:16,214 | DEBUG | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001ACE12769C0>)
2025-08-18 15:11:16,214 | DEBUG | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001ACE12769C0>) completed
2025-08-18 15:11:16,215 | DEBUG | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001ACE1296980>)
2025-08-18 15:11:16,215 | DEBUG | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001ACE1296980>) completed
2025-08-18 15:11:16,215 | DEBUG | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001ACE12769C0>, 'SELECT accounts.id, accounts.phone, accounts.name, accounts.session_path, accounts.is_authorized, accounts.created_at, accounts.api_id, accounts.api_hash, accounts.phone_code_hash \nFROM accounts', ())
2025-08-18 15:11:16,215 | DEBUG | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001ACE12769C0>, 'SELECT accounts.id, accounts.phone, accounts.name, accounts.session_path, accounts.is_authorized, accounts.created_at, accounts.api_id, accounts.api_hash, accounts.phone_code_hash \nFROM accounts', ()) completed
2025-08-18 15:11:16,216 | DEBUG | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001ACE12769C0>)
2025-08-18 15:11:16,216 | DEBUG | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001ACE12769C0>) completed
2025-08-18 15:11:16,216 | DEBUG | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001ACE12769C0>)
2025-08-18 15:11:16,217 | DEBUG | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001ACE12769C0>) completed
2025-08-18 15:11:16,217 | DEBUG | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001ACE1296980>)
2025-08-18 15:11:16,218 | DEBUG | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001ACE1296980>) completed
2025-08-18 15:11:16,218 | DEBUG | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001ACE12769C0>, 'SELECT templates.id, templates.title, templates.body, templates.created_at \nFROM templates', ())
2025-08-18 15:11:16,218 | DEBUG | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001ACE12769C0>, 'SELECT templates.id, templates.title, templates.body, templates.created_at \nFROM templates', ()) completed
2025-08-18 15:11:16,219 | DEBUG | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001ACE12769C0>)
2025-08-18 15:11:16,219 | DEBUG | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001ACE12769C0>) completed
2025-08-18 15:11:16,219 | DEBUG | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001ACE12769C0>)
2025-08-18 15:11:16,219 | DEBUG | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001ACE12769C0>) completed
2025-08-18 15:11:16,221 | DEBUG | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001ACE1296980>)
2025-08-18 15:11:16,221 | DEBUG | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001ACE1296980>) completed
2025-08-18 15:11:16,221 | DEBUG | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001ACE12769C0>, 'SELECT jobs.id, jobs.status, jobs.account_id, jobs.targets_blob, jobs.template_ids_blob, jobs.randomize, jobs.schedule_at, jobs.context_json, jobs.created_at, jobs.error, jobs.attempts, jobs.account_ids_blob, jobs.is_cyclic, jobs.cycle_minutes, jobs.paused, jobs.stopped, jobs.next_run_at \nFROM jobs ORDER BY jobs.id DESC\n LIMIT ? OFFSET ?', (50, 0))
2025-08-18 15:11:16,222 | DEBUG | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001ACE12769C0>, 'SELECT jobs.id, jobs.status, jobs.account_id, jobs.targets_blob, jobs.template_ids_blob, jobs.randomize, jobs.schedule_at, jobs.context_json, jobs.created_at, jobs.error, jobs.attempts, jobs.account_ids_blob, jobs.is_cyclic, jobs.cycle_minutes, jobs.paused, jobs.stopped, jobs.next_run_at \nFROM jobs ORDER BY jobs.id DESC\n LIMIT ? OFFSET ?', (50, 0)) completed
2025-08-18 15:11:16,222 | DEBUG | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001ACE12769C0>)
2025-08-18 15:11:16,223 | DEBUG | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001ACE12769C0>) completed
2025-08-18 15:11:16,224 | DEBUG | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001ACE12769C0>)
2025-08-18 15:11:16,224 | DEBUG | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001ACE12769C0>) completed
2025-08-18 15:11:16,230 | DEBUG | aiosqlite | executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x000001ACE1296980>)
2025-08-18 15:11:16,231 | DEBUG | aiosqlite | operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x000001ACE1296980>) completed
2025-08-18 15:11:16,232 | DEBUG | aiosqlite | executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x000001ACE1296980>)
2025-08-18 15:11:16,232 | DEBUG | aiosqlite | operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x000001ACE1296980>) completed
2025-08-18 15:11:18,670 | DEBUG | aiosqlite | executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x000001ACE11B7A60>)
2025-08-18 15:11:18,670 | DEBUG | aiosqlite | operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x000001ACE11B7A60>) completed
2025-08-18 15:11:18,673 | DEBUG | aiosqlite | executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x000001ACE11B7A60>)
2025-08-18 15:11:18,673 | DEBUG | aiosqlite | operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x000001ACE11B7A60>) completed
2025-08-18 15:11:18,674 | DEBUG | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001ACE1296980>)
2025-08-18 15:11:18,674 | DEBUG | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001ACE1296980>) completed
